"","ip","date","time","cik","accession","extention","size","frequencyCounter","cikDownloaded","LM"
"1","120.28.235.bch","2011-02-11",1297464908,739708,"0001193125-11-025949","dex992.htm",420078,67,24,"robot"
"2","120.28.235.bch","2011-02-11",1297464436,1400891,"0001193125-11-025939","dex992.htm",7338,67,24,"robot"
"3","67.164.40.bah","2011-02-11",1297464326,1230276,"0001193125-11-032963","ds1.htm",2488380,1,1,"human"
"4","190.250.25.bfb","2011-02-11",1297464146,1500837,"0001188112-11-000208","t69676_s1a.htm",5512783,4,3,"human"
"5","120.28.235.bch","2011-02-11",1297463886,1400891,"0001193125-11-025939","dex991.htm",476662,67,24,"robot"
"6","120.28.235.bch","2011-02-11",1297463745,1400891,"0001193125-11-025939","d8k.htm",18628,67,24,"robot"
"7","88.69.162.ghe","2011-02-11",1297462828,881695,"0000881695-11-000005","form8k.htm",29046,1,1,"human"
"8","76.215.116.dfg","2011-02-11",1297462439,80255,"0000080255-11-000133","enoc13gadec10.txt",8262,2,2,"human"
"9","76.215.116.dfg","2011-02-11",1297462428,1244937,"0000950123-11-011935","b84840e8vk.htm",15202,2,2,"human"
"10","202.129.197.dbe","2011-02-11",1297462027,854852,"0001104659-11-005335","a11-5381_18k.htm",31169,143,75,"robot"
"11","202.129.197.dbe","2011-02-11",1297462026,854852,"0001104659-11-005335","a11-5381_1ex99d1.htm",21199,143,75,"robot"
"12","190.250.25.bfb","2011-02-11",1297461842,1503063,"0001193125-11-025962","ds1a.htm",3092747,4,3,"human"
"13","202.129.197.dbe","2011-02-11",1297461675,1443646,"0001299933-11-000405","htm_40649.htm",12130,143,75,"robot"
"14","202.129.197.dbe","2011-02-11",1297461674,1443646,"0001299933-11-000405","exhibit1.htm",3674,143,75,"robot"
"15","24.79.104.ebg","2011-02-11",1297461662,1061768,"0001140361-11-008233","form13fhr.txt",5632,2,1,"human"
"16","67.111.227.bji","2011-02-11",1297461661,817979,"0001047469-11-000155","a2201601z424b3.htm",4384016,13,2,"human"
"17","202.129.197.dbe","2011-02-11",1297460369,1487730,"0000950142-11-000206","form8k_020111.htm",31753,143,75,"robot"
"18","202.129.197.dbe","2011-02-11",1297460368,1487730,"0000950142-11-000206","ex9901form8k_020111.htm",13977,143,75,"robot"
"19","202.129.197.dbe","2011-02-11",1297460016,1015155,"0001015155-11-000004","form8k.htm",28104,143,75,"robot"
"20","202.129.197.dbe","2011-02-11",1297460015,1015155,"0001015155-11-000004","exhibit991.htm",15110,143,75,"robot"
"21","202.129.197.dbe","2011-02-11",1297459127,1124608,"0001144204-11-006402","v210248_8k.htm",22547,143,75,"robot"
"22","202.129.197.dbe","2011-02-11",1297459126,1124608,"0001144204-11-006402","v210248_ex99-1.htm",14500,143,75,"robot"
"23","67.111.227.bji","2011-02-11",1297458677,817979,"0001104659-10-057262","a10-17348_110q.htm",2183908,13,2,"human"
"24","202.129.197.dbe","2011-02-11",1297458526,314606,"0001104659-11-006396","a11-5224_28k.htm",34993,143,75,"robot"
"25","202.129.197.dbe","2011-02-11",1297458526,314606,"0001104659-11-006396","a11-5224_2ex99d1.htm",7258,143,75,"robot"
"26","202.129.197.dbe","2011-02-11",1297458113,911421,"0000950103-11-000548","dp21145_ex9901.htm",10218,143,75,"robot"
"27","202.129.197.dbe","2011-02-11",1297458105,911421,"0000950103-11-000548","dp21145_8k.htm",31522,143,75,"robot"
"28","99.53.250.hdj","2011-02-11",1297457902,3952,"0000354204-11-000839","rrd162.htm",50184,3,1,"human"
"29","202.129.197.dbe","2011-02-11",1297457837,1137861,"0000950123-11-011801","g26077e8vk.htm",24353,143,75,"robot"
"30","202.129.197.dbe","2011-02-11",1297457836,1137861,"0000950123-11-011801","g26077exv99.htm",152992,143,75,"robot"
"31","67.111.227.bji","2011-02-11",1297457706,817979,"0001047469-10-002892","a2197675z10-k.htm",2515186,13,2,"human"
"32","190.250.25.bfb","2011-02-11",1297457526,1507240,"0001193125-10-280218","ds1.htm",4916745,4,3,"human"
"33","190.250.25.bfb","2011-02-11",1297457379,1507240,"0001193125-11-017440","ds1a.htm",5190770,4,3,"human"
"34","120.28.235.bch","2011-02-11",1297456229,1400891,"0001193125-11-025939","dex992.htm",7338,67,24,"robot"
"35","120.28.235.bch","2011-02-11",1297456214,1400891,"0001193125-11-025939","dex991.htm",476662,67,24,"robot"
"36","83.54.6.jie","2011-02-11",1297456051,1016118,"0001144204-08-057974","v128745_f6pos.htm",124484,1,1,"human"
"37","67.111.227.bji","2011-02-11",1297456050,817979,"0001104659-09-017677","a09-1495_110k.htm",3013359,13,2,"human"
"38","120.28.235.bch","2011-02-11",1297456034,1410064,"0001104659-11-005392","a11-5345_18k.htm",21604,67,24,"robot"
"39","120.28.235.bch","2011-02-11",1297455957,1261734,"0001144204-11-006314","v210198_ex3-1.htm",8519,67,24,"robot"
"40","120.28.235.bch","2011-02-11",1297455842,1261734,"0001144204-11-006314","v210198_8-k.htm",25370,67,24,"robot"
"41","69.137.232.fhf","2011-02-11",1297455631,1306900,"0000912282-10-000861","exeter6k_10272010.htm",37615,3,2,"human"
"42","69.137.232.fhf","2011-02-11",1297455605,1306900,"0000912282-10-000909","exeter6k_3q-09302010.htm",19913,3,2,"human"
"43","69.137.232.fhf","2011-02-11",1297455561,1277006,"0001277006-11-000012","exeter13gadec10.txt",6600,3,2,"human"
"44","24.12.168.edc","2011-02-11",1297455529,783412,"0001437749-11-000798","djc_10q-123110.htm",358321,1,1,"human"
"45","120.28.235.bch","2011-02-11",1297455410,1045942,"0001096906-11-000178","scra8k20110201ex99.htm",12921,67,24,"robot"
"46","200.126.131.fbb","2011-02-11",1297455278,1259429,"0001193125-11-032957","dn2.htm",2772065,1,1,"human"
"47","120.28.235.bch","2011-02-11",1297455038,1269127,"0001269127-11-000004","gers8kex99.htm",30018,67,24,"robot"
"48","99.192.5.agj","2011-02-11",1297454852,1061768,"0001140361-11-008233","form13fhr.txt",5632,1,1,"human"
"49","96.255.161.aej","2011-02-11",1297454829,921669,"0001140361-11-002446","xslF345X03/doc1.xml",21696,34,12,"human"
"50","96.255.161.aej","2011-02-11",1297454800,921669,"0000928475-11-000005",".txt",28352,34,12,"human"
"51","96.255.161.aej","2011-02-11",1297454785,921669,"0000928475-11-000005","lwsnsch13damd311111.txt",26172,34,12,"human"
"52","96.255.161.aej","2011-02-11",1297454773,921669,"0000928475-11-000008","mmisch13d011211.txt",38870,34,12,"human"
"53","96.255.161.aej","2011-02-11",1297454711,701811,"0000928475-11-000043","mentsch13damd10021011.txt",6063,34,12,"human"
"54","96.255.161.aej","2011-02-11",1297454685,701811,"0000928475-11-000045","mentdfan14a021011.txt",10160,34,12,"human"
"55","96.255.161.aej","2011-02-11",1297454668,921669,"0000928475-11-000047","motrsch13g021411.txt",14345,34,12,"human"
"56","96.255.161.aej","2011-02-11",1297454644,732485,"0000928475-11-000051","genzsch13g021411.txt",26133,34,12,"human"
"57","96.255.161.aej","2011-02-11",1297454616,21076,"0000928475-11-000041","clxsch13d021111.txt",58477,34,12,"human"
"58","72.201.56.bji","2011-02-11",1297454221,1501089,"0001047469-10-008062","a2200147z10-12b.htm",36701,2,1,"human"
"59","72.201.56.bji","2011-02-11",1297454174,1501089,"0001047469-10-008062",".txt",2037905,2,1,"human"
"60","98.220.219.bfc","2011-02-11",1297453992,1230276,"0001193125-11-032963","ds1.htm",2488380,1,1,"human"
"61","67.111.227.bji","2011-02-11",1297453685,817979,"0001104659-08-018033","a08-2746_110k.htm",2863999,13,2,"human"
