"","ip","time","cik","accession","extention","code","size","find","browser","per_day_counter","per_minute_counter","per_cik_counter","per_different_cik_counter","LM","DRT","Ryans"
"3669644","120.28.235.bch",1297464908,739708,"0001193125-11-025949","dex992.htm",200,420078,9,"lin",67,1,24,1,"robot","robot","robot"
"3661696","120.28.235.bch",1297464436,1400891,"0001193125-11-025939","dex992.htm",200,7338,9,"lin",67,1,24,1,"robot","robot","robot"
"3659530","67.164.40.bah",1297464326,1230276,"0001193125-11-032963","ds1.htm",200,2488380,9,"lin",1,1,1,1,"human","human","human"
"3656089","190.250.25.bfb",1297464146,1500837,"0001188112-11-000208","t69676_s1a.htm",200,5512783,9,"lin",4,1,3,1,"human","human","human"
"3648390","120.28.235.bch",1297463886,1400891,"0001193125-11-025939","dex991.htm",200,476662,9,"lin",67,1,24,1,"robot","robot","robot"
"3644008","120.28.235.bch",1297463745,1400891,"0001193125-11-025939","d8k.htm",200,18628,9,"lin",67,1,24,1,"robot","robot","robot"
"3608960","88.69.162.ghe",1297462828,881695,"0000881695-11-000005","form8k.htm",200,29046,9,"lin",1,1,1,1,"human","human","human"
"3589573","76.215.116.dfg",1297462439,80255,"0000080255-11-000133","enoc13gadec10.txt",200,8262,9,"lin",2,2,2,1,"human","human","human"
"3589130","76.215.116.dfg",1297462428,1244937,"0000950123-11-011935","b84840e8vk.htm",200,15202,9,"lin",2,2,2,1,"human","human","human"
"3577278","202.129.197.dbe",1297462027,854852,"0001104659-11-005335","a11-5381_18k.htm",200,31169,9,"lin",143,1,75,1,"robot","robot","robot"
"3577251","202.129.197.dbe",1297462026,854852,"0001104659-11-005335","a11-5381_1ex99d1.htm",200,21199,9,"lin",143,1,75,1,"robot","robot","robot"
"3571894","190.250.25.bfb",1297461842,1503063,"0001193125-11-025962","ds1a.htm",200,3092747,9,"lin",4,1,3,1,"human","human","human"
"3566567","202.129.197.dbe",1297461675,1443646,"0001299933-11-000405","htm_40649.htm",200,12130,9,"lin",143,1,75,1,"robot","robot","robot"
"3566528","202.129.197.dbe",1297461674,1443646,"0001299933-11-000405","exhibit1.htm",200,3674,9,"lin",143,1,75,1,"robot","robot","robot"
"3565988","24.79.104.ebg",1297461662,1061768,"0001140361-11-008233","form13fhr.txt",200,5632,9,"lin",2,2,1,2,"human","human","human"
"3565945","67.111.227.bji",1297461661,817979,"0001047469-11-000155","a2201601z424b3.htm",200,4384016,9,"lin",13,1,2,1,"human","human","human"
"3531725","202.129.197.dbe",1297460369,1487730,"0000950142-11-000206","form8k_020111.htm",200,31753,9,"lin",143,1,75,1,"robot","robot","robot"
"3531710","202.129.197.dbe",1297460368,1487730,"0000950142-11-000206","ex9901form8k_020111.htm",200,13977,9,"lin",143,1,75,1,"robot","robot","robot"
"3523122","202.129.197.dbe",1297460016,1015155,"0001015155-11-000004","form8k.htm",200,28104,9,"lin",143,1,75,1,"robot","robot","robot"
"3523105","202.129.197.dbe",1297460015,1015155,"0001015155-11-000004","exhibit991.htm",200,15110,9,"lin",143,1,75,1,"robot","robot","robot"
"3500375","202.129.197.dbe",1297459127,1124608,"0001144204-11-006402","v210248_8k.htm",200,22547,9,"lin",143,1,75,1,"robot","robot","robot"
